Month,Day,Hour ,Minute,Ping,Download_Speed,Upload_Speed
4,2,20,0,13,26.52,38.08
4,2,20,30,14,24.35,37.78
4,3,20,0,13,22.14,37.29
4,3,20,30,13,25.94,37.23
4,4,20,0,12,27.2,37.64
4,4,20,30,13,19.08,35.59
4,5,20,0,12,24.58,37.26
4,5,20,30,13,26.04,36.71
4,6,20,0,12,27.25,37.68
4,6,20,30,12,27.68,37.46
4,7,20,0,12,26.25,38.04
4,7,20,30,12,26.8,37.33
4,8,20,0,12,25.66,37.42
4,8,20,30,13,27.58,37.43
4,9,20,0,12,27.87,36.85
4,9,20,30,13,23.07,34.99
4,10,20,0,14,19.86,37.28
4,10,20,30,13,27.19,37.54
4,11,20,0,13,27.09,37.62
4,11,20,30,12,27.14,37.48
4,12,20,0,12,27.21,37.69
4,12,20,30,12,24.38,37.55
4,13,20,0,12,26.97,37.39
4,13,20,30,12,23.61,37.84
4,14,20,0,12,23.12,37.72
4,14,20,30,12,25.84,37.11
4,15,20,0,13,25.02,37.43
4,15,20,30,12,24.81,37.51
4,16,20,0,12,26.35,37.44
4,16,20,30,12,26.56,32.57
4,17,20,0,12,26.2,37.56
4,17,20,30,12,28.09,37.7
